 -3.5000E+01  3.2482E-05
 -3.4988E+01  3.4832E-05
 -3.4976E+01  3.8705E-05
 -3.4964E+01  4.4459E-05
 -3.4952E+01  5.2384E-05
 -3.4940E+01  6.2670E-05
 -3.4929E+01  7.5390E-05
 -3.4917E+01  9.0479E-05
 -3.4905E+01  1.0773E-04
 -3.4893E+01  1.2680E-04
 -3.4881E+01  1.4720E-04
 -3.4869E+01  1.6837E-04
 -3.4857E+01  1.8962E-04
 -3.4845E+01  2.1026E-04
 -3.4833E+01  2.2956E-04
 -3.4821E+01  2.4684E-04
 -3.4809E+01  2.6147E-04
 -3.4798E+01  2.7295E-04
 -3.4786E+01  2.8087E-04
 -3.4774E+01  2.8498E-04
 -3.4762E+01  2.8521E-04
 -3.4750E+01  2.8160E-04
 -3.4738E+01  2.7438E-04
 -3.4726E+01  2.6386E-04
 -3.4714E+01  2.5049E-04
 -3.4702E+01  2.3480E-04
 -3.4690E+01  2.1734E-04
 -3.4678E+01  1.9871E-04
 -3.4667E+01  1.7947E-04
 -3.4655E+01  1.6016E-04
 -3.4643E+01  1.4127E-04
 -3.4631E+01  1.2320E-04
 -3.4619E+01  1.0628E-04
 -3.4607E+01  9.0749E-05
 -3.4595E+01  7.6764E-05
 -3.4583E+01  6.4397E-05
 -3.4571E+01  5.3649E-05
 -3.4559E+01  4.4463E-05
 -3.4547E+01  3.6735E-05
 -3.4536E+01  3.0326E-05
 -3.4524E+01  2.5081E-05
 -3.4512E+01  2.0835E-05
 -3.4500E+01  1.7426E-05
 -3.4488E+01  1.4702E-05
 -3.4476E+01  1.2524E-05
 -3.4464E+01  1.0774E-05
 -3.4452E+01  9.3520E-06
 -3.4440E+01  8.1770E-06
 -3.4428E+01  7.1860E-06
 -3.4416E+01  6.3313E-06
 -3.4405E+01  5.5787E-06
 -3.4393E+01  4.9046E-06
 -3.4381E+01  4.2940E-06
 -3.4369E+01  3.7382E-06
 -3.4357E+01  3.2335E-06
 -3.4345E+01  2.7792E-06
 -3.4333E+01  2.3767E-06
 -3.4321E+01  2.0288E-06
 -3.4309E+01  1.7378E-06
 -3.4297E+01  1.5057E-06
 -3.4285E+01  1.3329E-06
 -3.4274E+01  1.2179E-06
 -3.4262E+01  1.1567E-06
 -3.4250E+01  1.1426E-06
 -3.4238E+01  1.1665E-06
 -3.4226E+01  1.2172E-06
 -3.4214E+01  1.2823E-06
 -3.4202E+01  1.3489E-06
 -3.4190E+01  1.4049E-06
 -3.4178E+01  1.4406E-06
 -3.4166E+01  1.4490E-06
 -3.4154E+01  1.4277E-06
 -3.4143E+01  1.3786E-06
 -3.4131E+01  1.3085E-06
 -3.4119E+01  1.2282E-06
 -3.4107E+01  1.1521E-06
 -3.4095E+01  1.0961E-06
 -3.4083E+01  1.0765E-06
 -3.4071E+01  1.1077E-06
 -3.4059E+01  1.2010E-06
 -3.4047E+01  1.3624E-06
 -3.4035E+01  1.5923E-06
 -3.4023E+01  1.8845E-06
 -3.4012E+01  2.2268E-06
 -3.4000E+01  2.6015E-06
 -3.3988E+01  2.9874E-06
 -3.3976E+01  3.3613E-06
 -3.3964E+01  3.7001E-06
 -3.3952E+01  3.9834E-06
 -3.3940E+01  4.1948E-06
 -3.3928E+01  4.3243E-06
 -3.3916E+01  4.3681E-06
 -3.3904E+01  4.3296E-06
 -3.3892E+01  4.2185E-06
 -3.3881E+01  4.0495E-06
 -3.3869E+01  3.8404E-06
 -3.3857E+01  3.6105E-06
 -3.3845E+01  3.3779E-06
 -3.3833E+01  3.1581E-06
 -3.3821E+01  2.9620E-06
 -3.3809E+01  2.7952E-06
 -3.3797E+01  2.6578E-06
 -3.3785E+01  2.5449E-06
 -3.3773E+01  2.4478E-06
 -3.3761E+01  2.3553E-06
 -3.3750E+01  2.2562E-06
 -3.3738E+01  2.1407E-06
 -3.3726E+01  2.0026E-06
 -3.3714E+01  1.8401E-06
 -3.3702E+01  1.6569E-06
 -3.3690E+01  1.4617E-06
 -3.3678E+01  1.2676E-06
 -3.3666E+01  1.0905E-06
 -3.3654E+01  9.4690E-07
 -3.3642E+01  8.5200E-07
 -3.3630E+01  8.1737E-07
 -3.3619E+01  8.4923E-07
 -3.3607E+01  9.4718E-07
 -3.3595E+01  1.1038E-06
 -3.3583E+01  1.3051E-06
 -3.3571E+01  1.5318E-06
 -3.3559E+01  1.7611E-06
 -3.3547E+01  1.9699E-06
 -3.3535E+01  2.1368E-06
 -3.3523E+01  2.2450E-06
 -3.3511E+01  2.2849E-06
 -3.3499E+01  2.2551E-06
 -3.3488E+01  2.1632E-06
 -3.3476E+01  2.0249E-06
 -3.3464E+01  1.8628E-06
 -3.3452E+01  1.7036E-06
 -3.3440E+01  1.5752E-06
 -3.3428E+01  1.5029E-06
 -3.3416E+01  1.5065E-06
 -3.3404E+01  1.5973E-06
 -3.3392E+01  1.7766E-06
 -3.3380E+01  2.0346E-06
 -3.3368E+01  2.3513E-06
 -3.3357E+01  2.6983E-06
 -3.3345E+01  3.0416E-06
 -3.3333E+01  3.3459E-06
 -3.3321E+01  3.5782E-06
 -3.3309E+01  3.7125E-06
 -3.3297E+01  3.7330E-06
 -3.3285E+01  3.6365E-06
 -3.3273E+01  3.4341E-06
 -3.3261E+01  3.1501E-06
 -3.3249E+01  2.8203E-06
 -3.3237E+01  2.4883E-06
 -3.3226E+01  2.2009E-06
 -3.3214E+01  2.0028E-06
 -3.3202E+01  1.9317E-06
 -3.3190E+01  2.0132E-06
 -3.3178E+01  2.2575E-06
 -3.3166E+01  2.6574E-06
 -3.3154E+01  3.1884E-06
 -3.3142E+01  3.8102E-06
 -3.3130E+01  4.4711E-06
 -3.3118E+01  5.1124E-06
 -3.3106E+01  5.6750E-06
 -3.3095E+01  6.1059E-06
 -3.3083E+01  6.3639E-06
 -3.3071E+01  6.4251E-06
 -3.3059E+01  6.2855E-06
 -3.3047E+01  5.9624E-06
 -3.3035E+01  5.4930E-06
 -3.3023E+01  4.9310E-06
 -3.3011E+01  4.3407E-06
 -3.2999E+01  3.7904E-06
 -3.2987E+01  3.3449E-06
 -3.2976E+01  3.0580E-06
 -3.2964E+01  2.9665E-06
 -3.2952E+01  3.0856E-06
 -3.2940E+01  3.4066E-06
 -3.2928E+01  3.8976E-06
 -3.2916E+01  4.5066E-06
 -3.2904E+01  5.1668E-06
 -3.2892E+01  5.8039E-06
 -3.2880E+01  6.3447E-06
 -3.2868E+01  6.7253E-06
 -3.2856E+01  6.8992E-06
 -3.2845E+01  6.8425E-06
 -3.2833E+01  6.5582E-06
 -3.2821E+01  6.0760E-06
 -3.2809E+01  5.4500E-06
 -3.2797E+01  4.7530E-06
 -3.2785E+01  4.0688E-06
 -3.2773E+01  3.4828E-06
 -3.2761E+01  3.0722E-06
 -3.2749E+01  2.8970E-06
 -3.2737E+01  2.9924E-06
 -3.2725E+01  3.3642E-06
 -3.2714E+01  3.9872E-06
 -3.2702E+01  4.8071E-06
 -3.2690E+01  5.7457E-06
 -3.2678E+01  6.7089E-06
 -3.2666E+01  7.5973E-06
 -3.2654E+01  8.3168E-06
 -3.2642E+01  8.7898E-06
 -3.2630E+01  8.9642E-06
 -3.2618E+01  8.8201E-06
 -3.2606E+01  8.3729E-06
 -3.2594E+01  7.6721E-06
 -3.2583E+01  6.7964E-06
 -3.2571E+01  5.8454E-06
 -3.2559E+01  4.9286E-06
 -3.2547E+01  4.1529E-06
 -3.2535E+01  3.6103E-06
 -3.2523E+01  3.3669E-06
 -3.2511E+01  3.4553E-06
 -3.2499E+01  3.8695E-06
 -3.2487E+01  4.5656E-06
 -3.2475E+01  5.4658E-06
 -3.2463E+01  6.4673E-06
 -3.2452E+01  7.4535E-06
 -3.2440E+01  8.3082E-06
 -3.2428E+01  8.9293E-06
 -3.2416E+01  9.2415E-06
 -3.2404E+01  9.2065E-06
 -3.2392E+01  8.8282E-06
 -3.2380E+01  8.1544E-06
 -3.2368E+01  7.2718E-06
 -3.2356E+01  6.2980E-06
 -3.2344E+01  5.3685E-06
 -3.2332E+01  4.6226E-06
 -3.2321E+01  4.1883E-06
 -3.2309E+01  4.1695E-06
 -3.2297E+01  4.6360E-06
 -3.2285E+01  5.6188E-06
 -3.2273E+01  7.1105E-06
 -3.2261E+01  9.0721E-06
 -3.2249E+01  1.1444E-05
 -3.2237E+01  1.4164E-05
 -3.2225E+01  1.7179E-05
 -3.2213E+01  2.0469E-05
 -3.2201E+01  2.4057E-05
 -3.2190E+01  2.8016E-05
 -3.2178E+01  3.2475E-05
 -3.2166E+01  3.7606E-05
 -3.2154E+01  4.3612E-05
 -3.2142E+01  5.0699E-05
 -3.2130E+01  5.9047E-05
 -3.2118E+01  6.8780E-05
 -3.2106E+01  7.9928E-05
 -3.2094E+01  9.2401E-05
 -3.2082E+01  1.0597E-04
 -3.2070E+01  1.2026E-04
 -3.2059E+01  1.3475E-04
 -3.2047E+01  1.4881E-04
 -3.2035E+01  1.6172E-04
 -3.2023E+01  1.7273E-04
 -3.2011E+01  1.8112E-04
 -3.1999E+01  1.8627E-04
 -3.1987E+01  1.8771E-04
 -3.1975E+01  1.8520E-04
 -3.1963E+01  1.7876E-04
 -3.1951E+01  1.6867E-04
 -3.1939E+01  1.5551E-04
 -3.1928E+01  1.4010E-04
 -3.1916E+01  1.2346E-04
 -3.1904E+01  1.0675E-04
 -3.1892E+01  9.1143E-05
 -3.1880E+01  7.7776E-05
 -3.1868E+01  6.7606E-05
